date,year,month,business,restricted_economy,best_discount
2009-06-01,2009,6,103.68837415673205,95.97653189016896,80.472894025865
2009-07-01,2009,7,94.07977817903809,94.21663173007822,61.5383598566992
2009-08-01,2009,8,94.1045382204437,93.91170036631661,60.27929710623974
2009-09-01,2009,9,94.1223956560919,95.22434755418995,77.77349790873296
2009-10-01,2009,10,103.84779936282865,94.90112172933782,65.33358571835838
2009-11-01,2009,11,94.85883530991987,95.9958374845973,67.38020938947338
2009-12-01,2009,12,95.7028795882353,97.15689237138766,82.814166036492
2010-01-01,2010,1,95.2825135016914,95.76950818162805,53.088132514974816
2010-02-01,2010,2,103.31256662651779,95.76048663786794,59.46622002720583
2010-03-01,2010,3,103.3322963107834,93.28039260660394,61.480177468072064
2010-04-01,2010,4,94.78484578875516,92.36868011195854,49.60414245786846
2010-05-01,2010,5,94.78484578875516,92.87326674866762,48.97669044247138
2010-06-01,2010,6,94.78484578875516,93.12265989223383,60.835424868234384
2010-07-01,2010,7,94.1124899466911,92.3536858277037,52.402153242224166
2010-08-01,2010,8,96.93221581423244,92.77522645722438,55.91103019887475
2010-09-01,2010,9,97.92240735063606,92.93259151067488,66.86767967464276
2010-10-01,2010,10,97.51818688685636,91.99419465863332,56.462455323357425
2010-11-01,2010,11,97.52520984832255,92.09700510099519,52.940896558759725
2010-12-01,2010,12,97.60160481207083,93.11220780517066,74.94309224457722
2011-01-01,2011,1,99.07746582664615,91.7393824962053,46.84133018525053
2011-02-01,2011,2,99.14140895165865,91.95592511104132,50.733014148062956
2011-03-01,2011,3,103.9173575190489,93.21618699753633,51.14699579853175
2011-04-01,2011,4,104.10005718154622,92.67057059428403,60.80566896084787
2011-05-01,2011,5,109.51338448042979,93.04176959963675,50.93126625636984
2011-06-01,2011,6,109.51338448042979,68.13657083210131,62.57500461124024
2011-07-01,2011,7,107.68817514799973,66.16133427731448,68.24707762405916
2011-08-01,2011,8,108.27317225561538,68.05828142452025,66.84257094427801
2011-09-01,2011,9,108.34812705019576,69.81374362367781,80.66157865909913
2011-10-01,2011,10,108.00614982276166,68.35483719095912,71.99018448452627
2011-11-01,2011,11,106.94591296194473,68.36113757238162,70.4856530023242
2011-12-01,2011,12,89.59983690692077,73.05847787461528,92.95662874825048
2012-01-01,2012,1,78.0377755243591,64.2489436767163,61.14497017630568
2012-02-01,2012,2,77.42063689153797,63.36056667128314,64.17518375141121
2012-03-01,2012,3,81.85654759893265,66.64339825507406,71.33720436221837
2012-04-01,2012,4,80.98956363299132,65.44317432382898,54.46741446491294
2012-05-01,2012,5,81.40850658974222,66.00326856880872,58.37610115039599
2012-06-01,2012,6,81.0749581284493,66.1200503678074,70.65606567883988
2012-07-01,2012,7,63.53567959934152,68.71935596488595,57.36959276466612
2012-08-01,2012,8,80.54102336184222,68.3998037414245,59.394213701290795
2012-09-01,2012,9,64.28596090656973,68.10839479749188,68.6841804647852
2012-10-01,2012,10,63.802067618352076,68.97638548294911,64.55000863954349
2012-11-01,2012,11,63.85464075735037,69.2828766508415,61.350270346372525
2012-12-01,2012,12,62.91617226718052,77.51122217286651,94.31909004574234
2013-01-01,2013,1,63.170062900402186,69.14259296596288,57.79270732774577
2013-02-01,2013,2,63.999337728356615,71.62680645620281,60.4379788719573
2013-03-01,2013,3,76.48014547825457,73.00703089903286,73.58105496158485
2013-04-01,2013,4,75.62262682729353,71.71760252107882,58.196718501527634
2013-05-01,2013,5,70.94039394821584,70.28485178761156,56.1107394358063
2013-06-01,2013,6,80.04585074983889,72.24997045094365,62.38489026292064
2013-07-01,2013,7,73.87573530094305,71.79703913990967,62.23107467894483
2013-08-01,2013,8,79.5327885100904,70.2441894284029,58.076165806889605
2013-09-01,2013,9,81.88114919025786,73.7536632200853,72.71571612751393
2013-10-01,2013,10,81.16222532306391,70.22955102855286,56.6943947754071
2013-11-01,2013,11,81.53634678510913,73.59887616751726,61.67400467320641
2013-12-01,2013,12,71.05997013932846,74.78478949272852,81.90360711145144
2014-01-01,2014,1,83.28039645543825,73.15008573539383,54.25448054294953
2014-02-01,2014,2,86.19716797814273,72.98323816545054,60.410596741184875
2014-03-01,2014,3,86.37622046017361,73.1339001610851,61.359314139569605
2014-04-01,2014,4,91.90269516942054,75.87661284983567,65.28439648811218
2014-05-01,2014,5,71.65042115407128,75.38072087324309,49.65875683816816
2014-06-01,2014,6,92.36561107772604,71.39693379384464,57.44968867105175
2014-07-01,2014,7,89.99202934020491,75.23246324561019,54.655418107614395
2014-08-01,2014,8,91.99495117064122,75.34341313270502,54.788761033940894
2014-09-01,2014,9,85.71591108668142,76.8729701473669,60.70159852673764
2014-10-01,2014,10,86.87129292306636,75.86599980936904,58.590160911318776
2014-11-01,2014,11,88.17143850264816,76.13787758097439,61.60551307315277
2014-12-01,2014,12,89.59687728685365,77.30380400676874,71.53428834906713
2015-01-01,2015,1,89.17421150373556,76.270140203376,60.11889082418733
2015-02-01,2015,2,88.99465265583905,77.19047316919753,64.00731441125072
2015-03-01,2015,3,89.15136301920876,76.29173483395464,64.25950027534321
2015-04-01,2015,4,89.99564275767021,77.16494632651109,53.511019741996215
2015-05-01,2015,5,90.23448913183724,79.17844748291809,56.29634334028997
2015-06-01,2015,6,90.8201085907458,78.95639558872693,61.51834588367698
2015-07-01,2015,7,90.05217179228555,78.66633925614988,60.899149221129335
2015-08-01,2015,8,89.85238201324427,79.43294049695189,62.0046721227837
2015-09-01,2015,9,90.0349218781884,80.1968036462321,67.2045159842992
2015-10-01,2015,10,89.72035001517672,79.23981021285796,62.218913607371455
2015-11-01,2015,11,91.15176645150817,79.13492238425543,60.898587760638335
2015-12-01,2015,12,91.59885998033046,78.89889033120217,62.10327841770126
2016-01-01,2016,1,94.52613005047574,80.78035583899249,54.82084379910833
2016-02-01,2016,2,94.98301058041234,79.48688875487116,58.88585130205142
2016-03-01,2016,3,95.09761000365197,79.5776982810004,55.13069873484461
2016-04-01,2016,4,94.47000168720172,79.16436813118074,58.370201071456584
2016-05-01,2016,5,94.50087338413203,79.09184663538234,55.14558341118837
2016-06-01,2016,6,95.2854691525992,79.56237660259586,58.60664915302833
2016-07-01,2016,7,94.21361576472701,78.85185791374715,57.45081297871815
2016-08-01,2016,8,94.42345276640289,79.05130256184972,57.590475440489044
2016-09-01,2016,9,94.91457649990788,80.33554872228746,73.70640422999061
2016-10-01,2016,10,93.93409663116121,79.55055306888137,61.65476234919541
2016-11-01,2016,11,94.27086189917368,79.73820403490359,61.297884454981194
2016-12-01,2016,12,96.97945380472001,81.1589698795814,84.48728707358744
2017-01-01,2017,1,94.15472703510784,79.28769492962515,58.89636736442202
2017-02-01,2017,2,94.1842262568207,79.6845182146844,59.58963907455483
2017-03-01,2017,3,95.32746771284447,80.40026387131361,81.8601398820321
2017-04-01,2017,4,94.16668058964112,80.22666780529124,59.55165980433358
2017-05-01,2017,5,96.37518173075287,80.30770225627042,64.62275584890267
2017-06-01,2017,6,95.49598557270592,80.90520015896902,61.37862630221756
2017-07-01,2017,7,94.85013666720496,81.90257218131772,59.48596219775804
2017-08-01,2017,8,92.64052853644438,83.21459135887108,54.26233363766896
2017-09-01,2017,9,95.21887985112556,83.3969807915838,70.63425115920599
2017-10-01,2017,10,94.5501638046889,82.63437542145456,63.3156673145299
2017-11-01,2017,11,94.69344399575682,98.29149505934106,62.47048580288219
2017-12-01,2017,12,94.21272387198213,100.11213550361231,84.87283651857709
2018-01-01,2018,1,93.06384560139854,98.23575600434404,59.83860405004948
2018-02-01,2018,2,93.60430431088004,98.54036930138076,63.70331374940587
2018-03-01,2018,3,94.03721078458231,99.01624800422357,78.41031768042498
2018-04-01,2018,4,93.90842816887609,97.88757734003738,61.76004262637156
2018-05-01,2018,5,94.00785603445021,97.93288436988882,61.32197593835338
2018-06-01,2018,6,94.22851249223295,99.82228174366581,69.69383816739473
2018-07-01,2018,7,93.96076953959016,99.32630667097133,62.47510350505621
2018-08-01,2018,8,93.23539832820047,99.37108022751855,61.71480798143663
2018-09-01,2018,9,93.24987124409999,101.7997184265785,72.60074923648071
2018-10-01,2018,10,93.13899729469833,100.02410005371188,68.95201661050274
2018-11-01,2018,11,92.99060342175643,100.71398847644278,66.36467195559563
2018-12-01,2018,12,92.28707545220827,102.95177577229397,92.30139418558745
2019-01-01,2019,1,89.36260787976411,101.09614419821243,60.308324728712684
