date,year,month,fare_class,index_value
2003-04-01,2003,4,Restricted Economy,102.2332378261094
2003-05-01,2003,5,Restricted Economy,104.54757400579798
2003-06-01,2003,6,Restricted Economy,102.18720770379154
2003-07-01,2003,7,Restricted Economy,100.0
2003-08-01,2003,8,Restricted Economy,99.11423030537628
2003-09-01,2003,9,Restricted Economy,99.89367420902626
2003-10-01,2003,10,Restricted Economy,99.1454540729386
2003-11-01,2003,11,Restricted Economy,97.03177506582249
2003-12-01,2003,12,Restricted Economy,97.06183542410172
2004-01-01,2004,1,Restricted Economy,98.3186656115058
2004-02-01,2004,2,Restricted Economy,97.98906730381488
2004-03-01,2004,3,Restricted Economy,98.01239718605522
2004-04-01,2004,4,Restricted Economy,97.54502843183252
2004-05-01,2004,5,Restricted Economy,103.19814381045236
2004-06-01,2004,6,Restricted Economy,102.74737202314296
2004-07-01,2004,7,Restricted Economy,102.1658243250792
2004-08-01,2004,8,Restricted Economy,102.32459594137518
2004-09-01,2004,9,Restricted Economy,103.86367637097074
2004-10-01,2004,10,Restricted Economy,103.76693048938468
2004-11-01,2004,11,Restricted Economy,104.79474754895872
2004-12-01,2004,12,Restricted Economy,104.77767791781204
2005-01-01,2005,1,Restricted Economy,106.68760255376182
2005-02-01,2005,2,Restricted Economy,105.92123913119474
2005-03-01,2005,3,Restricted Economy,108.38791214894586
2005-04-01,2005,4,Restricted Economy,107.83686610967916
2005-05-01,2005,5,Restricted Economy,94.2860637963136
2005-06-01,2005,6,Restricted Economy,94.5429118971409
2005-07-01,2005,7,Restricted Economy,94.03722307468053
2005-08-01,2005,8,Restricted Economy,93.53663306749026
2005-09-01,2005,9,Restricted Economy,94.5352336417217
2005-10-01,2005,10,Restricted Economy,93.91313126397333
2005-11-01,2005,11,Restricted Economy,94.1304461812442
2005-12-01,2005,12,Restricted Economy,94.0729266799228
2006-01-01,2006,1,Restricted Economy,93.29051884260794
2006-02-01,2006,2,Restricted Economy,92.8824833515469
2006-03-01,2006,3,Restricted Economy,93.6281486637307
2006-04-01,2006,4,Restricted Economy,91.88970799823184
2006-05-01,2006,5,Restricted Economy,91.76806566965232
2006-06-01,2006,6,Restricted Economy,93.5298362833463
2006-07-01,2006,7,Restricted Economy,92.84390008475616
2006-08-01,2006,8,Restricted Economy,92.75022802213864
2006-09-01,2006,9,Restricted Economy,92.6777595420568
2006-10-01,2006,10,Restricted Economy,90.92308012715172
2006-11-01,2006,11,Restricted Economy,93.8213273124139
2006-12-01,2006,12,Restricted Economy,93.6623226941385
2007-01-01,2007,1,Restricted Economy,95.9384629802588
2007-02-01,2007,2,Restricted Economy,95.6870033987251
2007-03-01,2007,3,Restricted Economy,95.62503899925473
2007-04-01,2007,4,Restricted Economy,94.83714478253398
2007-05-01,2007,5,Restricted Economy,95.77976087884522
2007-06-01,2007,6,Restricted Economy,95.73487383671504
2007-07-01,2007,7,Restricted Economy,95.370800524862
2007-08-01,2007,8,Restricted Economy,95.74996379031028
2007-09-01,2007,9,Restricted Economy,103.67748883190836
2007-10-01,2007,10,Restricted Economy,104.60757039095536
2007-11-01,2007,11,Restricted Economy,97.08332738165603
2007-12-01,2007,12,Restricted Economy,98.39651620483076
2008-01-01,2008,1,Restricted Economy,97.512619415502
2008-02-01,2008,2,Restricted Economy,96.9966129800751
2008-03-01,2008,3,Restricted Economy,96.5907367128341
2008-04-01,2008,4,Restricted Economy,95.32143963383326
2008-05-01,2008,5,Restricted Economy,96.1429009664244
2008-06-01,2008,6,Restricted Economy,98.9346435298908
2008-07-01,2008,7,Restricted Economy,101.15948261336383
2008-08-01,2008,8,Restricted Economy,101.13123731215832
2008-09-01,2008,9,Restricted Economy,101.12118256458496
2008-10-01,2008,10,Restricted Economy,101.83610967363798
2008-11-01,2008,11,Restricted Economy,101.38767019225236
2008-12-01,2008,12,Restricted Economy,101.04583121200112
2009-01-01,2009,1,Restricted Economy,97.28268930038146
2009-02-01,2009,2,Restricted Economy,97.22441982749623
2009-03-01,2009,3,Restricted Economy,99.17226927956108
2009-04-01,2009,4,Restricted Economy,95.54513317484508
2009-05-01,2009,5,Restricted Economy,95.55218786909973
2009-06-01,2009,6,Restricted Economy,95.97653189016896
2009-07-01,2009,7,Restricted Economy,94.21663173007822
2009-08-01,2009,8,Restricted Economy,93.9117003663166
2009-09-01,2009,9,Restricted Economy,95.22434755418996
2009-10-01,2009,10,Restricted Economy,94.90112172933782
2009-11-01,2009,11,Restricted Economy,95.9958374845973
2009-12-01,2009,12,Restricted Economy,97.15689237138766
2010-01-01,2010,1,Restricted Economy,95.76950818162804
2010-02-01,2010,2,Restricted Economy,95.76048663786794
2010-03-01,2010,3,Restricted Economy,93.28039260660394
2010-04-01,2010,4,Restricted Economy,92.36868011195854
2010-05-01,2010,5,Restricted Economy,92.87326674866762
2010-06-01,2010,6,Restricted Economy,93.12265989223384
2010-07-01,2010,7,Restricted Economy,92.3536858277037
2010-08-01,2010,8,Restricted Economy,92.77522645722438
2010-09-01,2010,9,Restricted Economy,92.93259151067488
2010-10-01,2010,10,Restricted Economy,91.99419465863332
2010-11-01,2010,11,Restricted Economy,92.0970051009952
2010-12-01,2010,12,Restricted Economy,93.11220780517066
2011-01-01,2011,1,Restricted Economy,91.7393824962053
2011-02-01,2011,2,Restricted Economy,91.95592511104132
2011-03-01,2011,3,Restricted Economy,93.21618699753633
2011-04-01,2011,4,Restricted Economy,92.67057059428404
2011-05-01,2011,5,Restricted Economy,93.04176959963677
2011-06-01,2011,6,Restricted Economy,68.13657083210131
2011-07-01,2011,7,Restricted Economy,66.16133427731448
2011-08-01,2011,8,Restricted Economy,68.05828142452025
2011-09-01,2011,9,Restricted Economy,69.81374362367781
2011-10-01,2011,10,Restricted Economy,68.35483719095912
2011-11-01,2011,11,Restricted Economy,68.36113757238162
2011-12-01,2011,12,Restricted Economy,73.05847787461528
2012-01-01,2012,1,Restricted Economy,64.2489436767163
2012-02-01,2012,2,Restricted Economy,63.36056667128314
2012-03-01,2012,3,Restricted Economy,66.64339825507406
2012-04-01,2012,4,Restricted Economy,65.44317432382898
2012-05-01,2012,5,Restricted Economy,66.00326856880872
2012-06-01,2012,6,Restricted Economy,66.1200503678074
2012-07-01,2012,7,Restricted Economy,68.71935596488595
2012-08-01,2012,8,Restricted Economy,68.3998037414245
2012-09-01,2012,9,Restricted Economy,68.10839479749188
2012-10-01,2012,10,Restricted Economy,68.97638548294911
2012-11-01,2012,11,Restricted Economy,69.2828766508415
2012-12-01,2012,12,Restricted Economy,77.51122217286651
2013-01-01,2013,1,Restricted Economy,69.14259296596288
2013-02-01,2013,2,Restricted Economy,71.62680645620281
2013-03-01,2013,3,Restricted Economy,73.00703089903286
2013-04-01,2013,4,Restricted Economy,71.71760252107882
2013-05-01,2013,5,Restricted Economy,70.28485178761156
2013-06-01,2013,6,Restricted Economy,72.24997045094365
2013-07-01,2013,7,Restricted Economy,71.79703913990967
2013-08-01,2013,8,Restricted Economy,70.2441894284029
2013-09-01,2013,9,Restricted Economy,73.7536632200853
2013-10-01,2013,10,Restricted Economy,70.22955102855286
2013-11-01,2013,11,Restricted Economy,73.59887616751726
2013-12-01,2013,12,Restricted Economy,74.78478949272852
2014-01-01,2014,1,Restricted Economy,73.15008573539383
2014-02-01,2014,2,Restricted Economy,72.98323816545054
2014-03-01,2014,3,Restricted Economy,73.1339001610851
2014-04-01,2014,4,Restricted Economy,75.87661284983567
2014-05-01,2014,5,Restricted Economy,75.38072087324309
2014-06-01,2014,6,Restricted Economy,71.39693379384464
2014-07-01,2014,7,Restricted Economy,75.23246324561019
2014-08-01,2014,8,Restricted Economy,75.34341313270502
2014-09-01,2014,9,Restricted Economy,76.8729701473669
2014-10-01,2014,10,Restricted Economy,75.86599980936904
2014-11-01,2014,11,Restricted Economy,76.13787758097439
2014-12-01,2014,12,Restricted Economy,77.30380400676874
2015-01-01,2015,1,Restricted Economy,76.270140203376
2015-02-01,2015,2,Restricted Economy,77.19047316919753
2015-03-01,2015,3,Restricted Economy,76.29173483395464
2015-04-01,2015,4,Restricted Economy,77.16494632651109
2015-05-01,2015,5,Restricted Economy,79.17844748291809
2015-06-01,2015,6,Restricted Economy,78.95639558872693
2015-07-01,2015,7,Restricted Economy,78.66633925614988
2015-08-01,2015,8,Restricted Economy,79.43294049695189
2015-09-01,2015,9,Restricted Economy,80.1968036462321
2015-10-01,2015,10,Restricted Economy,79.23981021285796
2015-11-01,2015,11,Restricted Economy,79.13492238425543
2015-12-01,2015,12,Restricted Economy,78.89889033120217
2016-01-01,2016,1,Restricted Economy,80.78035583899249
2016-02-01,2016,2,Restricted Economy,79.48688875487116
2016-03-01,2016,3,Restricted Economy,79.5776982810004
2016-04-01,2016,4,Restricted Economy,79.16436813118074
2016-05-01,2016,5,Restricted Economy,79.09184663538234
2016-06-01,2016,6,Restricted Economy,79.56237660259586
2016-07-01,2016,7,Restricted Economy,78.85185791374715
2016-08-01,2016,8,Restricted Economy,79.05130256184972
2016-09-01,2016,9,Restricted Economy,80.33554872228746
2016-10-01,2016,10,Restricted Economy,79.55055306888137
2016-11-01,2016,11,Restricted Economy,79.73820403490359
2016-12-01,2016,12,Restricted Economy,81.1589698795814
2017-01-01,2017,1,Restricted Economy,79.28769492962515
2017-02-01,2017,2,Restricted Economy,79.6845182146844
2017-03-01,2017,3,Restricted Economy,80.40026387131361
2017-04-01,2017,4,Restricted Economy,80.22666780529124
2017-05-01,2017,5,Restricted Economy,80.30770225627042
2017-06-01,2017,6,Restricted Economy,80.90520015896902
2017-07-01,2017,7,Restricted Economy,81.90257218131772
2017-08-01,2017,8,Restricted Economy,83.21459135887108
2017-09-01,2017,9,Restricted Economy,83.3969807915838
2017-10-01,2017,10,Restricted Economy,82.63437542145456
2017-11-01,2017,11,Restricted Economy,98.29149505934106
2017-12-01,2017,12,Restricted Economy,100.11213550361232
2018-01-01,2018,1,Restricted Economy,98.23575600434404
2018-02-01,2018,2,Restricted Economy,98.54036930138076
2018-03-01,2018,3,Restricted Economy,99.01624800422356
2018-04-01,2018,4,Restricted Economy,97.88757734003738
2018-05-01,2018,5,Restricted Economy,97.93288436988882
2018-06-01,2018,6,Restricted Economy,99.8222817436658
2018-07-01,2018,7,Restricted Economy,99.32630667097132
2018-08-01,2018,8,Restricted Economy,99.37108022751856
2018-09-01,2018,9,Restricted Economy,101.7997184265785
2018-10-01,2018,10,Restricted Economy,100.02410005371188
2018-11-01,2018,11,Restricted Economy,100.71398847644278
2018-12-01,2018,12,Restricted Economy,102.95177577229396
2019-01-01,2019,1,Restricted Economy,101.09614419821244
2019-02-01,2019,2,Restricted Economy,102.30654458051391
2019-03-01,2019,3,Restricted Economy,102.69661886932344
2019-04-01,2019,4,Restricted Economy,102.792455315427
2019-05-01,2019,5,Restricted Economy,102.2403328797032
2019-06-01,2019,6,Restricted Economy,103.03606811533456
